player0,210.0,200.0,True,0.0
player1,290.0,273.0,True,0.0
player2,146.0,123.0,True,0.0
player3,272.0,204.0,True,0.0
player4,194.0,227.0,True,0.0
player5,172.0,85.0,True,0.0
player6,98.0,235.0,True,0.0
player7,6.0,166.0,True,0.0
player8,6.0,157.0,True,0.0
player9,205.0,22.0,True,0.0
player10,108.0,128.0,True,0.0
player11,37.0,204.0,True,0.0
player12,114.0,72.0,True,0.0
player13,6.0,6.0,False,10.0
player14,66.0,166.0,True,0.0
player15,276.0,217.0,True,0.0
player16,194.0,273.0,True,0.0
player17,121.0,125.0,True,0.0
player18,295.0,37.0,False,8.0
player19,55.0,253.0,True,0.0
